,LST,GNDBI,GNDVI,LNDVI,X,Y,Year
79,47.05001831,-13.3541,14.1253,1.601630275,398970,3710280,1995
80,47.8500061,-13.7278,10.6747,0.305676804,399120,3710280,1995
81,50.75,-15.2323,7.2282,-0.2241386,401610,3710280,1995
82,49.15002441,-9.3094,3.3978,0.107099931,402030,3710280,1995
83,46.15002441,-12.9473,7.5692,0.808654779,403260,3710280,1995
84,51.55001831,-9.395,-1.687,0.038074697,396810,3710250,1995
85,47.65002441,-18.1249,10.5072,0.453457969,398370,3710250,1995
86,48.3500061,-16.3296,10.7689,0.905910939,399510,3710250,1995
87,45.55001831,-15.6703,10.8744,0.139562739,400230,3710250,1995
88,50.55001831,-12.1054,0.6602,0.066106539,401250,3710250,1995
89,51.25,-15.3248,6.4842,0.150753288,401550,3710250,1995
90,48.95001221,-3.3765,-5.9376,0.466185868,403980,3710250,1995
91,51.25,-9.2908,0.7667,0.036057037,396150,3710220,1995
92,48.75,-5.7248,-5.451,0.095450083,396360,3710220,1995
93,48.3500061,-13.4106,6.2219,0.267756534,399180,3710220,1995
94,51.55001831,-12.7179,4.3245,-0.069961668,399390,3710220,1995
95,45.95001221,-17.3867,15.4489,1.104404886,400140,3710220,1995
96,46.45001221,-14.2907,10.3977,1.289066892,400860,3710220,1995
97,47.65002441,-6.5154,2.5337,0.209482611,403830,3710220,1995
98,52.25,-6.3633,-4.0071,-0.36560827,404370,3710220,1995
99,51.25,-9.0939,1.3413,0.010786392,395280,3710190,1995
100,50.45001221,-9.9619,5.679,0.384783924,395880,3710190,1995
101,49.15002441,-6.4755,-6.1602,0.465672117,396390,3710190,1995
102,50.55001831,-12.0084,2.5269,0.024877446,397230,3710190,1995
103,46.8500061,-17.0674,14.3262,1.137190496,398880,3710190,1995
104,48.95001221,-13.105,5.3256,0.310708246,400440,3710190,1995
105,49.45001221,-11.7794,6.6136,-0.056497531,401820,3710190,1995
106,48.55001831,-9.4642,2.6676,-0.179950959,402150,3710190,1995
107,50.65002441,-8.8818,-0.1103,-0.002130456,404430,3710190,1995
108,45.55001831,-15.7702,11.0524,3.788757608,404610,3710190,1995
109,42.3500061,-13.7978,12.078,0.453672205,405630,3710190,1995
110,51.25,-9.0058,1.0506,0.005644596,395220,3710160,1995
111,51.25,-9.4948,1.5744,0.045851606,395250,3710160,1995
112,51.15002441,-10.9327,2.4521,-0.004688403,395400,3710160,1995
113,50.65002441,-10.3373,6.3945,0.289156451,395880,3710160,1995
114,51.05001831,-10.5926,5.5725,0.052679969,395970,3710160,1995
115,47.65002441,-17.1453,10.7561,0.940597431,398670,3710160,1995
116,47.65002441,-15.7233,10.1071,0.453393999,400320,3710160,1995
117,50.65002441,-10.1333,-1.4291,0.008314741,401100,3710160,1995
118,47.95001221,-12.4319,6.2458,0.960632513,401760,3710160,1995
119,45.65002441,-12.844,8.0017,1.212706657,405060,3710160,1995
120,48.55001831,-14.8381,6.6894,-0.100664351,395640,3710130,1995
121,51.05001831,-10.1011,1.5298,0.07374966,396120,3710130,1995
122,49.8500061,-13.7732,4.0303,0.285407905,399180,3710130,1995
123,47.45001221,-15.4554,9.5097,1.196792985,399540,3710130,1995
124,44.75,-17.54,18.5209,0.485108242,399870,3710130,1995
125,51.95001221,-10.1096,-1.4767,-0.047986731,401220,3710130,1995
126,50.65002441,-7.7772,-2.0272,0.103761433,404370,3710130,1995
127,51.25,-10.8408,4.575,0.214025323,396000,3710100,1995
128,53.3500061,-6.2574,-2.5066,0.071726141,396990,3710100,1995
129,49.05001831,-13.6237,4.3683,0.332475756,402900,3710100,1995
130,46.95001221,-13.0536,7.3843,0.432150266,403200,3710100,1995
131,49.95001221,-9.6662,0.2332,0.003716379,404400,3710100,1995
132,47.55001831,-17.1192,12.8992,1.741558552,400470,3710070,1995
133,49.45001221,-11.5593,3.8708,0.127399201,400950,3710070,1995
134,46.25,-12.7113,6.9265,1.234338973,403200,3710070,1995
135,51.55001831,-11.5477,1.5011,0.161693228,398010,3710040,1995
136,43.15002441,-19.0641,18.2858,1.600710115,399720,3710040,1995
137,48.65002441,-11.5406,3.2736,0.232368213,401640,3710040,1995
138,46.25,-16.3004,13.5217,1.659997179,403320,3710040,1995
139,45.65002441,-15.6243,14.5947,0.334975154,405540,3710040,1995
140,50.15002441,-12.7465,3.3953,0.150970834,395490,3710010,1995
141,51.55001831,-7.4491,-3.6108,-0.152724266,396180,3710010,1995
142,53.95001221,-5.4671,-9.2539,0.974645905,397710,3710010,1995
143,45.55001831,-16.6783,15.5645,4.462973263,399810,3710010,1995
144,47.8500061,-16.1283,11.7848,0.788239422,400770,3710010,1995
145,48.75,-10.5111,1.9919,-0.060186071,401640,3710010,1995
146,48.25,-9.3589,0.1267,0.002736894,401970,3710010,1995
147,49.65002441,-5.7229,1.899,-0.077919872,403950,3710010,1995
148,47.05001831,-17.5223,10.2317,0.540788798,405030,3710010,1995
149,52.05001831,-11.8198,5.0714,0.378131281,395730,3709980,1995
150,52.05001831,-10.0732,3.7595,0.261892476,395790,3709980,1995
151,54.25,-5.9429,-6.8847,0.496033576,397890,3709980,1995
152,45.15002441,-18.5279,14.4483,2.8921441,400320,3709980,1995
153,50.3500061,-9.2245,0.6235,-0.029537364,401730,3709980,1995
154,49.8500061,-12.0728,2.5125,0.067594785,402480,3709980,1995
155,50.65002441,-11.8394,0.7606,0.011378617,402870,3709980,1995
156,49.45001221,-5.9291,-0.305,0.003102094,404190,3709980,1995
157,54.25,-5.6308,-7.5551,0.491122955,397890,3709950,1995
158,48.95001221,-11.4002,0.7026,-0.027903597,399270,3709950,1995
159,52.25,-11.0294,1.1905,-0.104173763,399480,3709950,1995
160,52.65002441,-10.3523,-2.732,0.118424411,402810,3709950,1995
161,51.75,-9.1017,-1.8442,0.103834829,397500,3709920,1995
162,52.45001221,-8.6879,-2.6091,0.135540069,397530,3709920,1995
163,54.25,-6.7132,-6.4479,0.536700816,397950,3709920,1995
164,51.95001221,-13.1008,3.8656,0.113063142,398610,3709920,1995
165,48.25,-16.3892,14.0238,0.393168225,399870,3709920,1995
166,49.05001831,-12.9214,3.9048,-0.120152205,402330,3709920,1995
167,56.95001221,-10.7001,-2.3003,0.130348018,398310,3709890,1995
168,56.95001221,-10.4638,-2.3114,0.180462594,398340,3709890,1995
169,48.65002441,-15.675,7.5948,0.237513823,400740,3709890,1995
170,47.8500061,-14.1833,5.7124,0.710584548,400800,3709890,1995
171,51.95001221,-7.3428,-6.0129,0.593303771,401190,3709890,1995
172,50.15002441,-9.8668,-0.6811,0.020724428,401730,3709890,1995
173,48.95001221,-12.6782,1.5759,-0.076978272,402120,3709890,1995
174,48.15002441,-9.1252,1.1198,-0.114547916,404340,3709890,1995
175,52.05001831,-7.6804,-0.3065,-0.000881068,396060,3709860,1995
176,53.65002441,-7.1148,-7.4213,0.586744526,397980,3709860,1995
177,48.45001221,-13.2755,4.5115,0.305627031,399360,3709860,1995
178,51.15002441,-11.7033,1.0903,-0.017367842,402900,3709860,1995
